,added_at,artist_ids,artists,id,name,release_date
100,2019-07-08T13:11:04Z,"0YinUQ50QDB7ZxSCLyQ40k, 50co4Is1HCEo8bhOyUWKpn, 2hlmm7s2ICUX0LVIhVFlZQ","Mustard, Young Thug, Gunna",4FIk3t81hjVgiZCA5hLtP0,Woah Woah (feat. Young Thug & Gunna),2019-06-28
101,2019-07-08T13:09:06Z,"0YinUQ50QDB7ZxSCLyQ40k, 0VRj0yCOv2FXJNP47XQnx5, 0A0FS04o6zMoto8OKPsDwY, 20sxb77xiYeusSH8cVdatc","Mustard, Quavo, YG, Meek Mill",16ZzQo8IFilZ2gHizvGB5A,"100 Bands (feat. Quavo, YG & Meek Mill)",2019-06-28
102,2019-07-08T13:06:46Z,"0YinUQ50QDB7ZxSCLyQ40k, 1RyvyyTE3xzB2ZywiAwp0i","Mustard, Future",4j13h3sia1FhQG18bjSXEC,Interstate 10 (feat. Future),2019-06-28
103,2019-07-08T12:38:32Z,"0YinUQ50QDB7ZxSCLyQ40k, 7rkW85dBwwrJtlHRDkJDAC, 699OTQXzgjhIYAHMy9RyPD, 31W5EY0aAly4Qieq6OFu6I","Mustard, NAV, Playboi Carti, A Boogie Wit da Hoodie",2zjGJ0dChMR0KxBZS15aqo,"Baguettes in the Face (feat. NAV, Playboi Carti & A Boogie Wit da Hoodie)",2019-06-28
104,2019-07-07T02:02:07Z,"2VNtrixP67qJG8d8smmPrF, 0LWu8x7SMe8HRLi5jqAc2O, 0TGzcewLLmd3Ba2qpS4ibZ","Becca VanDerbeck, Matt Heath, Noel Goff",73kz81vSBTPcERJlvhsYKp,Summertime,2019-07-01
105,2019-07-07T02:01:43Z,58Lr19C9n9aRD7q4OHrEdb,Beachwood,5UH7c5giPG9RLL1ks5hEJD,Love Me Or Leave Me Alone,2019-07-05
106,2019-07-05T22:40:47Z,"5XenQ7XfcvQdfIbpLEFaKQ, 0ONHkAv9pCAFxb0zJwDNTy","GoldLink, Pusha T",1jCzgZFEl8RCUxDRvAGWUF,Cokewhite (feat. Pusha T),2019-06-12
107,2019-07-05T22:28:12Z,5XenQ7XfcvQdfIbpLEFaKQ,GoldLink,5uNhWDGP1gXxS2IZl2alGx,Maniac,2019-06-12
108,2019-07-05T04:33:53Z,0id62QV2SZZfvBn9xpmuCl,Aloe Blacc,5bTysxqGHXdSGiZVgljzCY,Brooklyn In The Summer,2018-05-11
109,2019-07-05T04:27:25Z,"6TIYQ3jFPwQSRmorSezPxX, 5EBlHXi71tDXnFtroEh7Rg","Machine Gun Kelly, Naomi Wild",0YP8kt3sAYTj6eEyesreQH,Glass House (feat. Naomi Wild),2019-07-05
110,2019-07-05T04:21:22Z,"6eUKZXaKkcviH0Ku9w2n3V, 1ooV8YZC1KbpEcrmI8WH0F","Ed Sheeran, YEBBA",5ug4vqGZ3eisGhY1IsziNX,Best Part of Me (feat. YEBBA),2019-07-05
